pop,site,depth,PCo1,PCo2
Site1-Depth1,Site1,Depth1,-0.078,0.001
Site1-Depth2,Site1,Depth2,-0.059,-0.025
Site1-Depth3,Site1,Depth3,0.03,-0.039
Site1-Depth4,Site1,Depth4,0.093,0.077
Site2-Depth1,Site2,Depth1,-0.076,0.061
Site2-Depth2,Site2,Depth2,-0.074,0
Site2-Depth3,Site2,Depth3,0.052,-0.006
Site2-Depth4,Site2,Depth4,0.144,0.064
Site3-Depth1,Site3,Depth1,-0.092,0.084
Site3-Depth2,Site3,Depth2,-0.053,-0.039
Site3-Depth3,Site3,Depth3,0.093,-0.012
Site3-Depth4,Site3,Depth4,0.032,-0.049
Site4-Depth1,Site4,Depth1,-0.082,-0.026
Site4-Depth2,Site4,Depth2,-0.06,-0.006
Site4-Depth3,Site4,Depth3,0.073,-0.033
Site4-Depth4,Site4,Depth4,0.06,-0.053
